review_id,product_name,review_title,review_text,text,rating,sentiment,label,source_url
971,Bluetooth Speaker,Worth buying,"The setup was simple, the design is nice, and the performance has been strong so far. Customer service was not needed.","Worth buying The setup was simple, the design is nice, and the performance has been strong so far. Customer service was not needed.",4,Positive,1,compiled_dataset_placeholder
6280,Blender,Does not last,"After a few days of use, the product started showing problems and became unreliable. Shipping was also reasonable.","Does not last After a few days of use, the product started showing problems and became unreliable. Shipping was also reasonable.",2,Negative,0,compiled_dataset_placeholder
1860,Air Fryer,Good everyday product,"This product is convenient, useful, and dependable for daily use. This review is based on regular home use.","Good everyday product This product is convenient, useful, and dependable for daily use. This review is based on regular home use.",5,Positive,1,compiled_dataset_placeholder
6804,Noise Cancelling Earbuds,Fine for basic use,"It is acceptable for simple tasks, but I expected a little more for the price. Shipping was also reasonable.","Fine for basic use It is acceptable for simple tasks, but I expected a little more for the price. Shipping was also reasonable.",3,Neutral,2,compiled_dataset_placeholder
6306,Phone Charger,Frustrating experience,The setup was confusing and the product did not work consistently. The packaging was simple.,Frustrating experience The setup was confusing and the product did not work consistently. The packaging was simple.,1,Negative,0,compiled_dataset_placeholder
3040,Keyboard,Good everyday product,"This product is convenient, useful, and dependable for daily use. This review is based on regular home use.","Good everyday product This product is convenient, useful, and dependable for daily use. This review is based on regular home use.",4,Positive,1,compiled_dataset_placeholder
7195,Wireless Headphones,Average product,"It does the basic job, but it is not especially impressive. Customer service was not needed.","Average product It does the basic job, but it is not especially impressive. Customer service was not needed.",3,Neutral,2,compiled_dataset_placeholder
1447,Portable Monitor,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
5200,Laptop Stand,Would not buy again,The quality was lower than expected and the performance was disappointing.,Would not buy again The quality was lower than expected and the performance was disappointing.,1,Negative,0,compiled_dataset_placeholder
6235,Wireless Headphones,Not worth the money,I had several issues with this product and would not recommend buying it. Shipping was also reasonable.,Not worth the money I had several issues with this product and would not recommend buying it. Shipping was also reasonable.,2,Negative,0,compiled_dataset_placeholder
4317,Bluetooth Speaker,Returned it,I ended up returning this because it did not work the way I needed it to. Customer service was not needed.,Returned it I ended up returning this because it did not work the way I needed it to. Customer service was not needed.,2,Negative,0,compiled_dataset_placeholder
5923,Wireless Headphones,Not worth the money,I had several issues with this product and would not recommend buying it. I used it for a few weeks before writing this review.,Not worth the money I had several issues with this product and would not recommend buying it. I used it for a few weeks before writing this review.,1,Negative,0,compiled_dataset_placeholder
6028,Laptop Stand,Very disappointed,The product stopped working after a short time and did not meet my expectations. The packaging was simple.,Very disappointed The product stopped working after a short time and did not meet my expectations. The packaging was simple.,1,Negative,0,compiled_dataset_placeholder
1851,Coffee Maker,Very satisfied,I have been using this for a while and it has worked consistently without any major issues. Customer service was not needed.,Very satisfied I have been using this for a while and it has worked consistently without any major issues. Customer service was not needed.,4,Positive,1,compiled_dataset_placeholder
430,Keyboard,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed. Shipping was also reasonable.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed. Shipping was also reasonable.,4,Positive,1,compiled_dataset_placeholder
102,Air Fryer,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed.,4,Positive,1,compiled_dataset_placeholder
4708,Smart Watch,Stopped working,It worked at first but then failed after only a few uses.,Stopped working It worked at first but then failed after only a few uses.,1,Negative,0,compiled_dataset_placeholder
466,Noise Cancelling Earbuds,Happy with it,The product arrived on time and matched the description. I would buy it again. Customer service was not needed.,Happy with it The product arrived on time and matched the description. I would buy it again. Customer service was not needed.,4,Positive,1,compiled_dataset_placeholder
4130,External Hard Drive,Stopped working,It worked at first but then failed after only a few uses.,Stopped working It worked at first but then failed after only a few uses.,1,Negative,0,compiled_dataset_placeholder
4829,Gaming Mouse,Poor quality,The item feels cheaply made and does not perform as described. Customer service was not needed.,Poor quality The item feels cheaply made and does not perform as described. Customer service was not needed.,1,Negative,0,compiled_dataset_placeholder
3505,Laptop Stand,Poor quality,The item feels cheaply made and does not perform as described. Customer service was not needed.,Poor quality The item feels cheaply made and does not perform as described. Customer service was not needed.,2,Negative,0,compiled_dataset_placeholder
